checkpoint,iteration,target_step,nearest_success_step,success_rate,pregrasp_success_rate,mean_pregrasp_distance,mean_touch_target_distance,mean_distance,mean_insertion_lateral_error,mean_alignment,min_distance,mean_reward,path
model_0.pt,0,0,0,0.0,0.0,0.41324710845947266,0.44068682193756104,0.4699251651763916,0.30479806661605835,-0.5247603058815002,0.4006308317184448,3.09380841255188,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_15-39-36/model_0.pt
model_50.pt,50,50,50,0.0,0.0,0.2918702960014343,0.2837984561920166,0.2810177206993103,0.26087790727615356,0.25387126207351685,0.11179564148187637,165.33331298828125,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_15-39-36/model_50.pt
model_100.pt,100,100,100,0.0,0.0,0.17524954676628113,0.19761598110198975,0.2250571995973587,0.13883617520332336,-0.8415775299072266,0.10122749209403992,317.7197570800781,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_15-39-36/model_100.pt
model_150.pt,150,150,150,0.0,0.0,0.16164347529411316,0.1901526004076004,0.2222212553024292,0.10714075714349747,-0.8943378925323486,0.11828798800706863,361.0723876953125,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_15-39-36/model_150.pt
model_200.pt,200,200,200,0.0,0.0,0.15739361941814423,0.17809812724590302,0.20492896437644958,0.13111482560634613,-0.8047859072685242,0.10685604810714722,374.70556640625,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_15-39-36/model_200.pt
model_250.pt,250,250,250,0.0,0.0,0.16332262754440308,0.18177498877048492,0.20706769824028015,0.14253143966197968,-0.8180530667304993,0.10676495730876923,367.66253662109375,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_15-39-36/model_250.pt
model_300.pt,300,300,300,0.0,0.0,0.1573854684829712,0.18114301562309265,0.210160493850708,0.1148264929652214,-0.8411705493927002,0.1029888316988945,384.9317932128906,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_15-39-36/model_300.pt
model_350.pt,350,350,350,0.0,0.0,0.15454018115997314,0.17535141110420227,0.20254647731781006,0.11819393187761307,-0.8350667953491211,0.09351815283298492,364.05218505859375,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_15-39-36/model_350.pt
model_400.pt,400,400,400,0.0,0.0,0.1518266797065735,0.17276686429977417,0.20001623034477234,0.118260957300663,-0.8214840292930603,0.10260946303606033,373.9167175292969,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_15-39-36/model_400.pt
model_450.pt,450,450,450,0.0,0.0,0.16015580296516418,0.18072491884231567,0.20748606324195862,0.13333377242088318,-0.8272957801818848,0.11883801221847534,356.380615234375,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_15-39-36/model_450.pt
model_500.pt,500,500,500,0.0,0.0,0.15829263627529144,0.17798486351966858,0.2042984664440155,0.1293015480041504,-0.8053919076919556,0.10308972001075745,373.11712646484375,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_15-39-36/model_500.pt
model_550.pt,550,550,550,0.0,0.0,0.14639148116111755,0.1701323539018631,0.19944557547569275,0.11344754695892334,-0.8582726716995239,0.10350717604160309,358.35980224609375,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_15-39-36/model_550.pt
model_600.pt,600,600,600,0.0,0.0,0.15396776795387268,0.17534232139587402,0.2030695378780365,0.12616033852100372,-0.8374451398849487,0.10620468109846115,362.8415222167969,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_15-39-36/model_600.pt
model_650.pt,650,650,650,0.0,0.0,0.1530168205499649,0.17585743963718414,0.2045758068561554,0.11845574527978897,-0.8420014381408691,0.0932130366563797,373.67913818359375,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_15-39-36/model_650.pt
model_700.pt,700,700,700,0.0,0.0,0.15454694628715515,0.17494866251945496,0.20212513208389282,0.1205955520272255,-0.7969015836715698,0.09999711066484451,379.65338134765625,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_15-39-36/model_700.pt
model_750.pt,750,750,750,0.0,0.0,0.14724242687225342,0.16894754767417908,0.19696056842803955,0.11627102643251419,-0.8340334892272949,0.0997653529047966,382.3655090332031,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_15-39-36/model_750.pt
model_800.pt,800,800,800,0.0,0.0,0.16010600328445435,0.18161357939243317,0.20927321910858154,0.129964679479599,-0.7687010765075684,0.1013580858707428,355.1033630371094,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_15-39-36/model_800.pt
model_850.pt,850,850,850,0.0,0.0,0.15420350432395935,0.17709599435329437,0.20588819682598114,0.1233566403388977,-0.8431887626647949,0.10878533124923706,365.2669982910156,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_15-39-36/model_850.pt
model_900.pt,900,900,900,0.0,0.0,0.1537974774837494,0.17693184316158295,0.20568668842315674,0.12040542811155319,-0.8487063646316528,0.10440659523010254,371.90350341796875,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_15-39-36/model_900.pt
model_950.pt,950,950,950,0.0,0.0,0.15761251747608185,0.18022741377353668,0.20897433161735535,0.11807364225387573,-0.8365950584411621,0.10286547243595123,384.61920166015625,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_15-39-36/model_950.pt
model_999.pt,999,999,999,0.0,0.0,0.15118838846683502,0.1750779002904892,0.20456135272979736,0.11366809904575348,-0.8648197054862976,0.10969851911067963,384.7969665527344,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_15-39-36/model_999.pt
