checkpoint,iteration,target_step,nearest_success_step,success_rate,stage1_alignment_ready_rate,stage1_latched_rate,pregrasp_entry_success_rate,pregrasp_entry_ready_rate,pregrasp_entry_reached_rate,pregrasp_success_rate,pregrasp_hold_ready_rate,pregrasp_held_rate,stage2_pregrasp_ready_rate,stage2_latched_rate,stage2_alignment_ready_rate,stage3_insertion_ready_rate,stage3_latched_rate,stage3_touch_ready_rate,stage4_center_ready_rate,stage4_push_ready_rate,mean_pregrasp_entry_distance,mean_pregrasp_distance,mean_gripper_center_pregrasp_distance,mean_touch_target_distance,mean_touch_error,mean_distance,mean_insertion_lateral_error,mean_alignment,mean_pregrasp_alignment,mean_insertion_alignment,mean_target_contact_penalty,mean_pregrasp_center_progress,mean_insertion_progress,mean_center_push_progress,mean_best_center_push_progress,mean_center_push_improvement,mean_best_target_center_distance,mean_target_center_improvement,mean_target_center_shell_improvement,mean_center_shortest_path_score,mean_stage4_time_pressure,mean_stage3_time_preserve,mean_terminal_success_quality,mean_near_terminal_reward,mean_stage_latch_reward,mean_progressive_stage_weight,mean_moving_pregrasp_fraction,moving_pregrasp_final_rate,moving_pregrasp_step_ready_rate,mean_moving_pregrasp_hold_progress,mean_moving_pregrasp_reward,mean_moving_pregrasp_funnel_reward,mean_final_insertion_reward,mean_pregrasp_line_error,min_distance,mean_reward,path
model_1900.pt,1900,1900,1900,0.002197265625,0.984619140625,0.984619140625,0.641357421875,0.190185546875,0.396728515625,0.94140625,0.338134765625,0.396728515625,0.396728515625,0.396728515625,0.984619140625,0.348876953125,0.396728515625,0.13623046875,0.002197265625,0.072021484375,0.10819300264120102,0.08407546579837799,0.08407546579837799,0.06791315972805023,0.06791315972805023,0.06791315972805023,0.05034208297729492,0.8992762565612793,0.8992762565612793,0.8992762565612793,0.0,0.9743765592575073,0.6132415533065796,0.6132415533065796,0.5904532074928284,0.0019804902840405703,0.6343802809715271,6.564515206264332e-05,0.011962890625,0.37841135263442993,0.13593506813049316,0.012833066284656525,0.0,0.045701488852500916,0.22508230805397034,1.0255643129348755,0.06821288913488388,0.05908203125,0.008056640625,0.0047607421875,0.006438510958105326,0.01479270402342081,0.0032585770823061466,1.3835535384032482e-08,0.044239021837711334,1500.306640625,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_15-38-38/model_1900.pt
model_1950.pt,1950,1950,1950,0.0,0.992431640625,0.992431640625,0.716064453125,0.369140625,0.82861328125,0.98583984375,0.642333984375,0.82861328125,0.82861328125,0.82861328125,0.992431640625,0.6025390625,0.82861328125,0.1533203125,0.0,0.162841796875,0.09607676416635513,0.07636749744415283,0.07636749744415283,0.06705349683761597,0.06705349683761597,0.06705349683761597,0.051515430212020874,0.9111402630805969,0.9111402630805969,0.9111402630805969,0.0,0.9310503005981445,0.5866178274154663,0.5866178274154663,0.7278297543525696,0.001418749219737947,0.2220749855041504,4.845465446123853e-05,0.009521484375,0.28409409523010254,0.29880860447883606,0.019364722073078156,0.0,0.026634875684976578,0.24134525656700134,1.0389454364776611,0.2627929747104645,0.223876953125,0.007080078125,0.0035400390625,0.016434527933597565,0.050907231867313385,0.008053658530116081,1.2868675902666382e-08,0.04454195871949196,8478.5546875,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_15-38-38/model_1950.pt
model_2000.pt,2000,2000,2000,0.0,0.993896484375,0.993896484375,0.8134765625,0.5009765625,0.826171875,0.990478515625,0.7275390625,0.826171875,0.826171875,0.826171875,0.993896484375,0.499267578125,0.826171875,0.120361328125,0.0,0.12255859375,0.08437260240316391,0.06906986981630325,0.06906986981630325,0.06362146139144897,0.06362146139144897,0.06362146139144897,0.046613696962594986,0.9061868190765381,0.9061868190765381,0.9061868190765381,0.0,0.8243975639343262,0.5003297924995422,0.5003297924995422,0.7042518854141235,0.0008053339552134275,0.22511151432991028,3.7547022657236084e-05,0.007080078125,0.3510965406894684,0.2699723243713379,0.019343627616763115,0.0,0.020212916657328606,0.26597270369529724,1.0322129726409912,0.3878418207168579,0.3388671875,0.070556640625,0.0615234375,0.04550789296627045,0.11638189852237701,0.009220190346240997,1.3500337736616075e-08,0.03594983369112015,8667.8515625,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_15-38-38/model_2000.pt
model_2050.pt,2050,2050,2050,0.0,0.99658203125,1.0,0.729736328125,0.40380859375,0.79931640625,0.996337890625,0.65283203125,0.79931640625,0.7958984375,0.79931640625,0.99658203125,0.482666015625,0.79931640625,0.236083984375,0.0,0.0966796875,0.08721059560775757,0.07051809132099152,0.07051809132099152,0.06020130217075348,0.06020130217075348,0.06020130217075348,0.04291647672653198,0.9115705490112305,0.9115705490112305,0.9115705490112305,0.0,0.8334022760391235,0.5017765760421753,0.5017765760421753,0.6945905089378357,0.0007984095718711615,0.24794542789459229,1.8114227714249864e-05,0.003173828125,0.39169055223464966,0.24676918983459473,0.027196478098630905,0.0,0.05810697749257088,0.27669066190719604,1.0407171249389648,0.32001954317092896,0.273193359375,0.0634765625,0.054931640625,0.03946156054735184,0.11066784709692001,0.004938654601573944,1.4202081288772206e-08,0.03553057461977005,8224.0146484375,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_15-38-38/model_2050.pt
model_2100.pt,2100,2100,2100,0.00048828125,0.993408203125,1.0,0.85595703125,0.658203125,0.91259765625,1.0,0.79150390625,0.91259765625,0.906005859375,0.91259765625,0.993408203125,0.49169921875,0.91259765625,0.208984375,0.00048828125,0.23388671875,0.07574424147605896,0.06300745904445648,0.06300745904445648,0.05694566294550896,0.05694566294550896,0.05694566294550896,0.04354650154709816,0.9228754043579102,0.9228754043579102,0.9228754043579102,0.0,0.788856029510498,0.4553903341293335,0.4553903341293335,0.7378195524215698,0.0015737706562504172,0.14141599833965302,2.793681233015377e-05,0.00537109375,0.3791886568069458,0.24233399331569672,0.018287722021341324,0.0,0.047901466488838196,0.2992263436317444,1.0357433557510376,0.5543457269668579,0.521728515625,0.110107421875,0.1038818359375,0.07709228992462158,0.16175898909568787,0.014700287021696568,1.3566590517655186e-08,0.026914283633232117,9822.681640625,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_15-38-38/model_2100.pt
model_2150.pt,2150,2150,2150,0.0,1.0,1.0,0.176025390625,0.0146484375,0.398681640625,0.983154296875,0.113525390625,0.398681640625,0.398681640625,0.398681640625,1.0,0.3759765625,0.398681640625,0.199462890625,0.0,0.215576171875,0.12124945968389511,0.0950695350766182,0.0950695350766182,0.060105353593826294,0.060105353593826294,0.060105353593826294,0.05214446038007736,0.9211238622665405,0.9211238622665405,0.9211238622665405,0.0,1.0,0.7524913549423218,0.7524913549423218,0.6707770824432373,0.000537706189788878,0.6246134042739868,1.5571238691336475e-05,0.0029296875,0.24777154624462128,0.18828126788139343,0.013857334852218628,0.0,0.04404335469007492,0.215287446975708,1.0224884748458862,0.007861328311264515,0.0078125,0.000244140625,0.0001220703125,0.0002074908697977662,0.0,0.0006579410401172936,1.2921707259749837e-08,0.04475267976522446,5169.02001953125,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_15-38-38/model_2150.pt
model_2200.pt,2200,2200,2200,0.001708984375,0.988525390625,0.994384765625,0.931640625,0.80712890625,0.870849609375,0.97607421875,0.84716796875,0.870849609375,0.864990234375,0.870849609375,0.988525390625,0.324462890625,0.870849609375,0.125732421875,0.001708984375,0.156005859375,0.0654236227273941,0.056887321174144745,0.056887321174144745,0.05764705315232277,0.05764705315232277,0.05764705315232277,0.04306386783719063,0.9099709987640381,0.9099709987640381,0.9099709987640381,0.0,0.7075376510620117,0.34689095616340637,0.34689095616340637,0.6743214130401611,0.0005564989987760782,0.18512627482414246,2.0151710486970842e-05,0.003662109375,0.45061975717544556,0.16936197876930237,0.013643616810441017,0.0,0.03550451248884201,0.35773277282714844,1.0223432779312134,0.677783191204071,0.603759765625,0.30419921875,0.2918701171875,0.15868675708770752,0.25715792179107666,0.01604379713535309,1.3404717336129579e-08,0.017187699675559998,8826.71875,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_15-38-38/model_2200.pt
model_2250.pt,2250,2250,2250,0.0,0.9873046875,0.9951171875,0.987548828125,0.932373046875,0.95703125,0.9921875,0.94921875,0.95703125,0.94921875,0.95703125,0.9873046875,0.195556640625,0.95703125,0.002685546875,0.0,0.0078125,0.03677310049533844,0.03276665508747101,0.03276665508747101,0.03610612452030182,0.03610612452030182,0.03610612452030182,0.017988890409469604,0.9043980836868286,0.9043980836868286,0.9043980836868286,0.0,0.5643254518508911,0.11347386240959167,0.11347386240959167,0.5625783801078796,0.00029158685356378555,0.10117794573307037,1.0900600500463042e-05,0.00146484375,0.7910815477371216,0.07012777030467987,0.007536284625530243,0.0,0.005121681373566389,0.6289985775947571,1.0146756172180176,0.7535644173622131,0.730224609375,0.705078125,0.69482421875,0.4784514307975769,0.5863807201385498,0.0011539796832948923,1.4051616759047647e-08,0.006854549050331116,13036.0966796875,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_15-38-38/model_2250.pt
model_2300.pt,2300,2300,2300,0.0,0.991943359375,1.0,0.99853515625,0.971435546875,0.984375,1.0,0.976318359375,0.984375,0.976318359375,0.984375,0.991943359375,0.12548828125,0.9765625,0.000732421875,0.0,0.0,0.029963422566652298,0.026702921837568283,0.026702921837568283,0.02905910462141037,0.02905910462141037,0.02905910462141037,0.014821723103523254,0.9201239347457886,0.9201239347457886,0.9201239347457886,0.0,0.5491754412651062,0.0650203675031662,0.0650203675031662,0.5576929450035095,8.066141162998974e-06,0.0815439373254776,2.6100424292963e-06,0.000244140625,0.8356396555900574,0.03890543803572655,0.004516173154115677,0.0,0.014794060960412025,0.6948590874671936,1.0103693008422852,0.8462890386581421,0.83056640625,0.815673828125,0.807861328125,0.5629473328590393,0.6614786982536316,0.0,1.4814847126842778e-08,0.007397454231977463,14066.783203125,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_15-38-38/model_2300.pt
model_2350.pt,2350,2350,2350,0.00048828125,0.97607421875,0.99560546875,0.9921875,0.93017578125,0.959716796875,0.9921875,0.940185546875,0.959716796875,0.940185546875,0.959716796875,0.97607421875,0.197265625,0.959716796875,0.00439453125,0.00048828125,0.0,0.0359007865190506,0.030821265652775764,0.030821265652775764,0.03491982817649841,0.03491982817649841,0.03491982817649841,0.015771744772791862,0.894422173500061,0.894422173500061,0.894422173500061,0.0,0.5976610779762268,0.10905870795249939,0.10905870795249939,0.5663446187973022,0.00010867576202144846,0.1001117080450058,7.793158147251233e-06,0.001220703125,0.8168449997901917,0.08039958029985428,0.005990145727992058,0.0,0.012514856643974781,0.6549407839775085,1.0126522779464722,0.737597644329071,0.7177734375,0.707275390625,0.69775390625,0.5093668699264526,0.6040371656417847,0.0,1.3636184625909209e-08,0.00704684853553772,13577.1201171875,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_15-38-38/model_2350.pt
model_2400.pt,2400,2400,2400,0.000244140625,0.991455078125,0.99951171875,0.9912109375,0.953857421875,0.962646484375,0.99462890625,0.95458984375,0.962646484375,0.95458984375,0.962646484375,0.991455078125,0.071044921875,0.9609375,0.000244140625,0.000244140625,0.0,0.028762558475136757,0.02462489902973175,0.02462489902973175,0.027773417532444,0.027773417532444,0.027773417532444,0.01321684941649437,0.9083987474441528,0.9083987474441528,0.9083987474441528,0.0,0.5791023969650269,0.049390800297260284,0.049390800297260284,0.5406970977783203,0.0001272643858101219,0.10020613670349121,3.877633389492985e-06,0.00048828125,0.8513777256011963,0.0185546875,0.001446080394089222,0.0,0.00306092482060194,0.7202328443527222,1.0028586387634277,0.87060546875,0.839599609375,0.826904296875,0.814453125,0.6067725419998169,0.7053714394569397,0.0,1.2374596458641918e-08,0.003923476208001375,15543.296875,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_15-38-38/model_2400.pt
model_2450.pt,2450,2450,2450,0.00048828125,0.995849609375,0.998046875,0.986328125,0.94580078125,0.966064453125,0.990478515625,0.9638671875,0.966064453125,0.9638671875,0.966064453125,0.995849609375,0.107421875,0.96484375,0.001953125,0.00048828125,0.000244140625,0.030080657452344894,0.02676175907254219,0.02676175907254219,0.028946157544851303,0.028946157544851303,0.028946157544851303,0.014805437996983528,0.9086509943008423,0.9086509943008423,0.9086509943008423,0.0,0.5654213428497314,0.06478175520896912,0.06478175520896912,0.5493974685668945,0.00011902421101694927,0.0952850878238678,7.127477147150785e-06,0.001220703125,0.8373956084251404,0.04166097193956375,0.0023748893290758133,0.0,0.003459216793999076,0.7197725772857666,1.0031847953796387,0.8492187261581421,0.830810546875,0.82275390625,0.81591796875,0.6045454740524292,0.6954286098480225,0.0,1.2515151581737882e-08,0.007824759930372238,15111.9169921875,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_15-38-38/model_2450.pt
model_2500.pt,2500,2500,2500,0.0,1.0,1.0,0.999267578125,0.956298828125,0.9658203125,1.0,0.9658203125,0.9658203125,0.9658203125,0.9658203125,1.0,0.136962890625,0.96533203125,0.00341796875,0.0,0.0,0.031768664717674255,0.023918572813272476,0.023918572813272476,0.027064014226198196,0.027064014226198196,0.027064014226198196,0.012289579957723618,0.9209825992584229,0.9209825992584229,0.9209825992584229,0.0,0.6451791524887085,0.07557455450296402,0.07557455450296402,0.5452733039855957,0.00022475306468550116,0.09667055308818817,7.050366548355669e-06,0.0009765625,0.8575373888015747,0.04506103694438934,0.0038520731031894684,0.0,0.0030063686426728964,0.7314638495445251,1.0066152811050415,0.819091796875,0.79443359375,0.78759765625,0.7769775390625,0.6208656430244446,0.695995569229126,0.0,1.4257826919106265e-08,0.003145127557218075,14931.5185546875,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_15-38-38/model_2500.pt
model_2550.pt,2550,2550,2550,0.000244140625,0.9951171875,0.996337890625,0.97216796875,0.946533203125,0.95068359375,0.9755859375,0.949462890625,0.95068359375,0.949462890625,0.95068359375,0.9951171875,0.0966796875,0.9501953125,0.001708984375,0.000244140625,0.0,0.032797425985336304,0.028030412271618843,0.028030412271618843,0.03162941709160805,0.03162941709160805,0.03162941709160805,0.017427772283554077,0.9201717376708984,0.9201717376708984,0.9201717376708984,0.0,0.591623842716217,0.0580848790705204,0.0580848790705204,0.5281374454498291,0.0002885843859985471,0.11393056809902191,7.917647053545807e-06,0.002197265625,0.8313107490539551,0.037252604961395264,0.0021480268333107233,0.0,0.003601702395826578,0.7178353071212769,1.0034666061401367,0.8419922590255737,0.814697265625,0.808349609375,0.7987060546875,0.6060545444488525,0.6925023794174194,0.0,1.3262935638636009e-08,0.0042396229691803455,14782.6455078125,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_15-38-38/model_2550.pt
model_2600.pt,2600,2600,2600,0.0,0.98681640625,0.99609375,0.992431640625,0.947021484375,0.959716796875,0.994140625,0.950439453125,0.959716796875,0.950439453125,0.959716796875,0.98681640625,0.075927734375,0.958740234375,0.00048828125,0.0,0.0,0.03002561628818512,0.02343852072954178,0.02343852072954178,0.02660728618502617,0.02660728618502617,0.02660728618502617,0.013698017224669456,0.9126851558685303,0.9126851558685303,0.9126851558685303,0.0,0.6219313144683838,0.050157759338617325,0.050157759338617325,0.5278206467628479,9.551378025207669e-05,0.10586266219615936,3.5594512155512348e-06,0.000732421875,0.8524541258811951,0.020545247942209244,0.0011692442931234837,0.0,0.0011703661875799298,0.7458284497261047,1.001908302307129,0.8659179210662842,0.8466796875,0.84375,0.83544921875,0.6440070271492004,0.7178378105163574,0.0,1.4585465279992604e-08,0.0034117354080080986,16507.552734375,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_15-38-38/model_2600.pt
model_2650.pt,2650,2650,2650,0.0,0.98974609375,0.98974609375,0.9775390625,0.958251953125,0.96337890625,0.981201171875,0.96337890625,0.96337890625,0.96337890625,0.96337890625,0.98974609375,0.098388671875,0.9541015625,0.0,0.0,0.0,0.03245094045996666,0.02736005187034607,0.02736005187034607,0.031205974519252777,0.031205974519252777,0.031205974519252777,0.01705581694841385,0.9185346961021423,0.9185346961021423,0.9185346961021423,0.0,0.5992069244384766,0.049976449459791183,0.049976449459791183,0.5376331806182861,0.0001277134579140693,0.10884545743465424,3.2921843740041368e-06,0.00048828125,0.8410574197769165,0.022301431745290756,0.0017974711954593658,0.0,0.002530265599489212,0.7211782932281494,1.0039089918136597,0.8553710579872131,0.828369140625,0.81591796875,0.804443359375,0.6155917644500732,0.7020289301872253,0.0,1.4946278881211583e-08,0.004808184690773487,14913.623046875,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_15-38-38/model_2650.pt
model_2698.pt,2698,2698,2698,0.0,0.9892578125,0.994384765625,0.986328125,0.9384765625,0.9501953125,0.9892578125,0.945068359375,0.9501953125,0.945068359375,0.9501953125,0.9892578125,0.10546875,0.9501953125,0.002197265625,0.0,0.0,0.032669030129909515,0.026168499141931534,0.026168499141931534,0.029774371534585953,0.029774371534585953,0.029774371534585953,0.015265385620296001,0.9138965606689453,0.9138965606689453,0.9138965606689453,0.0,0.6277134418487549,0.06680923700332642,0.06680923700332642,0.5528355836868286,0.0001422352943336591,0.11138306558132172,2.4358114387723617e-06,0.00048828125,0.8402339816093445,0.026336263865232468,0.001541808363981545,0.0,0.004005091730505228,0.7223734855651855,1.005157709121704,0.8285156488418579,0.7998046875,0.79296875,0.78173828125,0.6133905649185181,0.6899198293685913,0.0,1.329447485431956e-08,0.004213372245430946,16479.796875,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_15-38-38/model_2698.pt
